Node1	Node2	E	A
1	3	2.10e06	6.91
1	4	2.10e06	6.91
2	3	2.10e06	6.91
2	4	2.10e06	6.91
3	4	2.10e06	6.91
3	5	2.10e06	6.91
3	6	2.10e06	6.91
4	5	2.10e06	6.91
4	6	2.10e06	6.91
5	6	2.10e06	6.91
5	7	2.10e06	6.91
5	8	2.10e06	6.91
6	7	2.10e06	6.91
6	8	2.10e06	6.91
7	8	2.10e06	6.91
7	9	2.10e06	6.91
7	10	2.10e06	6.91
8	9	2.10e06	6.91
8	10	2.10e06	6.91
9	10	2.10e06	6.91
9	11	2.10e06	6.91
11	13	2.10e06	6.91
9	13	2.10e06	6.91
9	14	2.10e06	6.91
10	13	2.10e06	6.91
10	14	2.10e06	6.91
10	12	2.10e06	6.91
12	14	2.10e06	6.91
13	14	2.10e06	6.91
13	15	2.10e06	6.91
13	16	2.10e06	6.91
14	15	2.10e06	6.91
14	16	2.10e06	6.91
15	16	2.10e06	6.91
15	17	2.10e06	6.91
17	19	2.10e06	6.91
15	19	2.10e06	6.91
15	20	2.10e06	6.91
16	19	2.10e06	6.91
16	20	2.10e06	6.91
16	18	2.10e06	6.91
18	20	2.10e06	6.91
19	20	2.10e06	6.91
19	21	2.10e06	6.91
19	22	2.10e06	6.91
21	20	2.10e06	6.91
22	20	2.10e06	6.91
21	22	2.10e06	6.91
21	23	2.10e06	6.91
21	25	2.10e06	6.91
21	26	2.10e06	6.91
23	25	2.10e06	6.91
22	25	2.10e06	6.91
22	26	2.10e06	6.91
26	25	2.10e06	6.91
26	24	2.10e06	6.91
22	24	2.10e06	6.91
